Rank,Release Group,Worldwide,Domestic,%,Foreign
54,Jujutsu Kaisen 0: The Movie,"$66,748,036",-,100%,"$66,748,036"
55,Belle,"$62,957,039","$3,939,184",93.7%,"$59,017,855"
56,Ron's Gone Wrong,"$60,683,798","$23,009,270",62.1%,"$37,674,528"
57,Cloudy Mountain,"$58,281,703",-,100%,"$58,281,703"
58,Avatar 2021 Re-release,"$57,700,000",-,100%,"$57,700,000"
59,Nezha Reborn,"$56,088,478",-,100%,"$56,088,478"
60,Nobody,"$55,705,035","$27,568,035",50.5%,"$28,137,000"
61,Upcoming,"$54,300,000",-,100%,"$54,300,000"
62,Man in Love,"$52,946,097",-,100%,"$52,946,097"
63,Break Through the Darkness,"$52,700,000",-,100%,"$52,700,000"
64,Escape Room: Tournament of Champions,"$51,914,753","$25,314,753",51.2%,"$26,600,000"
65,Schemes in Antiques,"$51,637,422","$36,501",99.9%,"$51,600,921"
66,Luca,"$49,750,471",-,100%,"$49,750,471"
67,Don't Breathe 2,"$47,312,950","$32,712,950",30.9%,"$14,600,000"
68,My Hero Academia: World Heroes' Mission,"$46,567,849","$12,271,658",73.6%,"$34,296,191"
69,The French Dispatch,"$46,082,078","$16,124,375",65%,"$29,957,703"
70,Love Will Tear Us Apart,"$45,060,290",-,100%,"$45,060,290"
71,In the Heights,"$43,975,167","$29,975,167",31.8%,"$14,000,000"
72,Spirit Untamed,"$42,717,215","$17,716,215",58.5%,"$25,001,000"
73,Spiral,"$40,618,920","$23,216,862",42.8%,"$17,402,058"
74,Snake Eyes,"$40,064,325","$28,264,325",29.5%,"$11,800,000"
75,Tokyo Revengers,"$39,687,069",-,100%,"$39,687,069"
76,Nomadland,"$39,458,207","$3,700,000",90.6%,"$35,758,207"
77,Resident Evil: Welcome to Raccoon City,"$38,600,612","$17,000,612",56%,"$21,600,000"
78,The Yinyang Master,"$37,690,000",-,100%,"$37,690,000"
79,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,100%,"$36,964,978"
80,Nightmare Alley,"$36,816,746","$11,187,725",69.6%,"$25,629,021"
81,King Richard,"$36,297,069","$14,997,069",58.7%,"$21,300,000"
82,The Door Lock,"$36,100,000",-,100%,"$36,100,000"
83,Arashi Anniversary Tour 5 x 20 Film: Record of Memories,"$36,065,638",-,100%,"$36,065,638"
84,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,100%,"$34,975,905"
85,Belfast,"$34,068,020","$8,627,020",74.7%,"$25,441,000"
86,Malignant,"$33,991,791","$13,391,791",60.6%,"$20,600,000"
87,Big Red Envelope,"$32,800,000",-,100%,"$32,800,000"
88,Masquerade Night,"$32,287,400",-,100%,"$32,287,400"
89,Once Upon a Time in Hong Kong,"$32,218,874",-,100%,"$32,218,874"
90,Home Sweet Home,"$32,178,677",-,100%,"$32,178,677"
91,Respect,"$31,765,870","$24,278,399",23.6%,"$7,487,471"
92,The Unholy,"$30,832,137","$15,532,137",49.6%,"$15,300,000"
93,The Last Duel,"$30,552,111","$10,853,945",64.5%,"$19,698,166"
94,The Little Things,"$29,942,746","$15,342,746",48.8%,"$14,600,000"
95,Escape from Mogadishu,"$29,855,981","$346,271",98.8%,"$29,509,710"
96,The Last Warrior: A Messenger of Darkness,"$29,167,945",-,100%,"$29,167,945"
97,Master,"$28,692,230",-,100%,"$28,692,230"
98,The Last Warrior: Root of Evil,"$28,357,398",-,100%,"$28,357,398"
99,Licorice Pizza,"$27,087,673","$16,195,673",40.2%,"$10,892,000"
100,American Underdog,"$26,514,814","$26,514,814",-,-
101,Chaos Walking,"$26,508,132","$13,287,908",49.9%,"$13,220,224"
102,The Courier,"$26,001,227","$6,613,432",74.6%,"$19,387,795"
103,Those Who Wish Me Dead,"$23,468,586","$7,407,200",68.4%,"$16,061,386"
104,The Marksman,"$23,076,711","$15,566,093",32.5%,"$7,510,618"
105,Last Night in Soho,"$22,957,625","$10,127,625",55.9%,"$12,830,000"
106,The Day We Lit Up the Sky,"$22,500,000",-,100%,"$22,500,000"
107,Kaamelott: First Installment,"$21,965,451","$188,000",99.1%,"$21,777,451"
108,After We Fell,"$21,584,600","$2,170,750",89.9%,"$19,413,850"
109,Spencer,"$21,536,793","$7,086,632",67.1%,"$14,450,161"
110,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,100%,"$21,318,560"
111,Wish Dragon,"$21,120,000",-,100%,"$21,120,000"
112,Stillwater,"$19,672,073","$14,465,535",26.5%,"$5,206,538"
113,Les Tuche 4,"$19,259,766",-,100%,"$19,259,766"
114,Dear Evan Hansen,"$19,023,625","$15,002,646",21.1%,"$4,020,979"
115,The Pioneer,"$18,900,000",-,100%,"$18,900,000"
116,The Green Knight,"$18,888,418","$17,173,321",9.1%,"$1,715,097"
117,Antlers,"$18,867,659","$10,619,670",43.7%,"$8,247,989"
118,Sinkhole,"$18,804,231",-,100%,"$18,804,231"
119,Mobile Suit Gundam: Hathaway,"$18,731,309",-,100%,"$18,731,309"
120,The Stronghold,"$18,066,143",-,100%,"$18,066,143"
121,Bo Gia,"$17,480,489","$350,000",98%,"$17,130,489"
122,The Dry,"$17,392,594","$364,237",97.9%,"$17,028,357"
123,Gintama: The Final,"$17,252,960",-,100%,"$17,252,960"
124,Railway Heroes,"$17,222,703",-,100%,"$17,222,703"
125,Parallel Mothers,"$17,022,865","$1,912,446",88.8%,"$15,110,419"
126,Upon the Magic Roads,"$15,990,882",-,100%,"$15,990,882"
127,Reminiscence,"$15,800,193","$3,900,193",75.3%,"$11,900,000"
128,Your Turn to Kill,"$15,476,242",-,100%,"$15,476,242"
129,The Wolf and the Lion,"$15,448,367","$1,218,308",92.1%,"$14,230,059"
130,The Night House,"$15,437,703","$7,100,581",54%,"$8,337,122"
131,Minari,"$15,322,552","$3,110,580",79.7%,"$12,211,972"
132,Something About Love,"$15,204,017",-,100%,"$15,204,017"
133,Anita,"$15,026,604","$556,632",96.3%,"$14,469,972"
134,The Tomorrow War,"$14,400,000",-,100%,"$14,400,000"
135,"And, the Baton Was Passed","$14,368,469",-,100%,"$14,368,469"
136,Cry Macho,"$14,340,402","$10,310,734",28.1%,"$4,029,668"
137,99.9 Criminal Lawyer: The Movie,"$14,269,321",-,100%,"$14,269,321"
138,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,100%,"$14,059,824"
139,Sword Art Online: Progressive - Aria of a Starless Night,"$13,769,821","$1,050,000",92.4%,"$12,719,821"
140,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",-,-
141,OSS 117: From Africa with Love,"$13,458,371",-,100%,"$13,458,371"
142,Hostage: Missing Celebrity,"$13,125,970",-,100%,"$13,125,970"
143,Eiffel,"$13,074,755",-,100%,"$13,074,755"
144,Vakeel Saab,"$13,056,490",-,100%,"$13,056,490"
145,Monkey King Reborn,"$13,002,635",-,100%,"$13,002,635"
146,No Escapes,"$12,916,151",-,100%,"$12,916,151"
147,The Bodin's in the Land of Smile,"$12,872,253",-,100%,"$12,872,253"
148,The Many Saints of Newark,"$12,737,403","$8,237,403",35.3%,"$4,500,000"
149,Character,"$12,571,501",-,100%,"$12,571,501"
150,School of Magical Animals,"$12,538,626",-,100%,"$12,538,626"
151,On Your Mark,"$12,100,000",-,100%,"$12,100,000"
152,Stand by Me,"$11,900,000",-,100%,"$11,900,000"
153,On the Line,"$11,772,156",-,100%,"$11,772,156"
154,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,100%,"$11,325,545"
155,What Did You Eat Yesterday?,"$11,320,893",-,100%,"$11,320,893"
156,Aline,"$11,058,710","$588,430",94.7%,"$10,470,280"
157,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$10,795,457","$799,342",92.6%,"$9,996,115"
158,Krack,"$10,442,916",-,100%,"$10,442,916"
159,Kaiserschmarrndrama,"$10,357,720",-,100%,"$10,357,720"
160,"Caution, Hazardous Wife: The Movie","$10,356,359",-,100%,"$10,356,359"
161,Realm of Terracotta,"$10,341,512",-,100%,"$10,341,512"
162,Detective Conan: The Scarlet Alibi,"$10,308,627",-,100%,"$10,308,627"
163,Never Stop,"$10,224,935",-,100%,"$10,224,935"
164,Sumikko Gurashi The Movie: The Magical Child Of The Blue Moonlit Night,"$9,735,732",-,100%,"$9,735,732"
165,Black Box,"$9,689,532",-,100%,"$9,689,532"
166,The Soul,"$9,600,000",-,100%,"$9,600,000"
167,¡A todo tren! Destino Asturias,"$9,544,171",-,100%,"$9,544,171"
168,Baragaki: Unbroken Samurai,"$9,481,437",-,100%,"$9,481,437"
169,The Vault,"$9,041,329",-,100%,"$9,041,329"
170,All About My Mother,"$8,900,000",-,100%,"$8,900,000"
171,The Eleventh Chapter,"$8,845,525",-,100%,"$8,845,525"
172,Kaguya-sama: Love Is War,"$8,794,981",-,100%,"$8,794,981"
173,Agent Backkom: Kings Bear,"$8,500,000",-,100%,"$8,500,000"
174,Honey Lemon Soda,"$8,441,488",-,100%,"$8,441,488"
175,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,100%,"$8,377,569"
176,Delicious,"$8,372,294",-,100%,"$8,372,294"
177,The Medium,"$8,357,445",-,100%,"$8,357,445"
178,The Protégé,"$8,282,208","$7,446,823",10.1%,"$835,385"
179,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,100%,"$8,204,616"
180,White Snake 2: Green Snake,"$8,170,000",-,100%,"$8,170,000"
181,Ainbo,"$8,133,281",-,100%,"$8,133,281"
182,New Happy Dad and Son 4,"$8,070,000",-,100%,"$8,070,000"
183,Sunny Sisters,"$7,880,000",-,100%,"$7,880,000"
184,Hard Hit,"$7,633,895",-,100%,"$7,633,895"
185,Little Canned Men,"$7,600,000",-,100%,"$7,600,000"
186,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",82.6%,"$6,272,374"
187,Dad,"$7,544,581",-,100%,"$7,544,581"
188,The Mauritanian,"$7,527,030","$836,536",88.9%,"$6,690,494"
189,The Ice Road,"$7,502,846",-,100%,"$7,502,846"
190,Love Letter 2021 Re-release,"$7,400,000",-,100%,"$7,400,000"
191,'83,"$7,351,061","$4,055,660",44.8%,"$3,295,401"
192,Signal: The Movie,"$7,344,186",-,100%,"$7,344,186"
193,Lost Illusions,"$7,249,376",-,100%,"$7,249,376"
194,Contra,"$7,216,863",-,100%,"$7,216,863"
195,Dear Tutu: Operation T-Rex,"$7,200,000",-,100%,"$7,200,000"
196,Water Boys,"$7,200,000",-,100%,"$7,200,000"
197,The Worst Person in the World,"$7,160,798","$1,801,063",74.8%,"$5,359,735"
198,Couple from the Future,"$7,160,729",-,100%,"$7,160,729"
199,Sooryavanshi,"$6,984,082","$3,547,776",49.2%,"$3,436,306"
200,Extinct,"$6,927,641",-,100%,"$6,927,641"
