Rank,Release Group,Worldwide,Domestic,%,Foreign
1,Spider-Man: No Way Home,"$1,853,107,715","$781,107,715",57.8%,"$1,072,000,000"
2,The Battle at Lake Changjin,"$902,540,935","$342,411",100%,"$902,198,524"
3,"Hi, Mom","$822,009,764",-,100%,"$822,009,764"
4,No Time to Die,"$774,153,007","$160,891,007",79.2%,"$613,262,000"
5,F9: The Fast Saga,"$726,229,501","$173,005,945",76.2%,"$553,223,556"
6,Detective Chinatown 3,"$686,257,563",-,100%,"$686,257,563"
7,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",57.5%,"$288,500,000"
8,Godzilla vs. Kong,"$468,216,094","$100,916,094",78.4%,"$367,300,000"
9,Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",48.1%,"$207,700,000"
10,Eternals,"$402,064,899","$164,870,234",59%,"$237,194,665"
11,Dune,"$400,458,648","$108,114,689",73%,"$292,343,959"
12,Black Widow,"$379,751,655","$183,651,655",51.6%,"$196,100,000"
13,Sing 2,"$351,989,855","$151,735,855",56.9%,"$200,254,000"
14,Free Guy,"$331,526,598","$121,626,598",63.3%,"$209,900,000"
15,A Quiet Place Part II,"$297,372,261","$160,072,261",46.2%,"$137,300,000"
16,Encanto,"$246,488,051","$95,451,058",61.3%,"$151,036,993"
17,Cruella,"$233,503,234","$86,103,234",63.1%,"$147,400,000"
18,"My Country, My Parents","$221,701,823","$166,807",99.9%,"$221,535,016"
19,Jungle Cruise,"$220,889,446","$116,987,516",47%,"$103,901,930"
20,Raging Fire,"$205,846,481","$385,305",99.8%,"$205,461,176"
21,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",67.5%,"$136,400,000"
22,Ghostbusters: Afterlife,"$197,314,508","$129,314,508",34.5%,"$68,000,000"
23,Chinese Doctors,"$197,143,218",-,100%,"$197,143,218"
24,Cliff Walkers,"$181,325,565","$152,972",99.9%,"$181,172,593"
25,The Suicide Squad,"$167,417,425","$55,817,425",66.7%,"$111,600,000"
26,Space Jam: A New Legacy,"$162,892,228","$70,592,228",56.7%,"$92,300,000"
27,The Matrix Resurrections,"$156,571,196","$37,682,966",75.9%,"$118,888,230"
28,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",73.7%,"$113,400,000"
29,House of Gucci,"$152,109,466","$53,804,466",64.6%,"$98,305,000"
30,A Writer's Odyssey,"$150,123,320","$160,013",99.9%,"$149,963,307"
31,The Boss Baby: Family Business,"$146,745,280","$57,300,280",61%,"$89,445,000"
32,PAW Patrol: The Movie,"$144,327,371","$40,127,371",72.2%,"$104,200,000"
33,Tom & Jerry: The Movie,"$133,336,687","$46,536,687",65.1%,"$86,800,000"
34,Be Somebody,"$132,324,831",-,100%,"$132,324,831"
35,Halloween Kills,"$131,647,155","$92,002,155",30.1%,"$39,645,000"
36,Raya and the Last Dragon,"$130,423,032","$54,723,032",58%,"$75,700,000"
37,Sister,"$128,317,206",-,100%,"$128,317,206"
38,The King's Man,"$125,707,366","$37,155,802",70.4%,"$88,551,564"
39,The Addams Family 2,"$119,815,153","$56,489,153",52.9%,"$63,326,000"
40,My Love,"$114,016,434","$86,252",99.9%,"$113,930,182"
41,Clifford the Big Red Dog,"$104,347,356","$48,947,356",53.1%,"$55,400,000"
42,Wrath of Man,"$103,966,489","$27,466,489",73.6%,"$76,500,000"
43,Detective Conan: The Scarlet Bullet,"$95,580,715",-,100%,"$95,580,715"
44,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,100%,"$92,246,218"
45,End Game,"$91,824,961","$23,149",100%,"$91,801,812"
46,Old,"$90,146,510","$48,276,510",46.4%,"$41,870,000"
47,Mortal Kombat,"$83,726,031","$42,326,031",49.4%,"$41,400,000"
48,Boonie Bears: The Wild Life,"$77,961,441",-,100%,"$77,961,441"
49,Candyman,"$77,411,570","$61,186,570",21%,"$16,225,000"
50,The Forever Purge,"$76,994,245","$44,539,245",42.2%,"$32,455,000"
51,1921,"$75,159,828",-,100%,"$75,159,828"
52,West Side Story,"$72,554,646","$38,147,373",47.4%,"$34,407,273"
53,Hitman's Wife's Bodyguard,"$70,060,492","$38,014,727",45.7%,"$32,045,765"
