Rank,Release Group,Worldwide,Domestic,%,Foreign
132,Stop-Zemlia,"$143,434",-,100%,"$143,434"
133,How I Learned to Fly,"$141,664",-,100%,"$141,664"
134,The Path,"$138,062",-,100%,"$138,062"
135,Jane by Charlotte,"$133,152",-,100%,"$133,152"
136,Rhino,"$129,860",-,100%,"$129,860"
137,Only Fools Rush In,"$128,846","$82,842",35.7%,"$46,004"
138,Gamestop: Rise of the Players,"$126,297","$126,297",-,-
139,Octonauts and the Caves of Sac Actun,"$120,976",-,100%,"$120,976"
140,Aaja Mexico Challiye,"$118,173",-,100%,"$118,173"
141,Opera Mundi: Rigoletto Experientia,"$116,354",-,100%,"$116,354"
142,Project 'Gemini',"$105,631",-,100%,"$105,631"
143,DJ Tillu,"$103,830",-,100%,"$103,830"
144,Mój dlug,"$99,754",-,100%,"$99,754"
145,Small Body,"$95,402",-,100%,"$95,402"
146,Flight 666,"$95,106",-,100%,"$95,106"
147,Ghosts of the Ozarks,"$91,731",-,100%,"$91,731"
148,Kernagis,"$87,794",-,100%,"$87,794"
149,Mahlûkat,"$87,554",-,100%,"$87,554"
150,Shattered,"$86,246",-,100%,"$86,246"
151,The Unkind,"$82,380",-,100%,"$82,380"
152,Petra de San José,"$81,321",-,100%,"$81,321"
153,See for Me,"$79,411","$51,218",35.5%,"$28,193"
154,The Conversation 2021 Re-release,"$76,901","$76,901",-,-
155,Butter,"$73,937","$73,937",-,-
156,Masal Zamani Melez Prenses,"$70,258",-,100%,"$70,258"
157,Howl's Moving Castle 2022 Re-release,"$69,760",-,100%,"$69,760"
158,Save the Cinema,"$69,029",-,100%,"$69,029"
159,Ghost in Transit,"$69,013",-,100%,"$69,013"
160,The Last Execution,"$68,529",-,100%,"$68,529"
161,Tazza: The Hidden Card 2022 Re-release,"$65,989",-,100%,"$65,989"
162,Strawberry Mansion,"$65,407","$65,407",-,-
163,The Girl with the Golden Hands,"$62,777",-,100%,"$62,777"
164,Olmadi Kaçariz,"$62,129",-,100%,"$62,129"
165,Tazza 2: The Hidden Card,"$61,756",-,100%,"$61,756"
166,We Are Nothing,"$60,309",-,100%,"$60,309"
167,Panghrun,"$60,244",-,100%,"$60,244"
168,Träume sind wie wilde Tiger,"$59,423",-,100%,"$59,423"
169,The Desperate Hour,"$58,805",-,100%,"$58,805"
170,Sewing Sisters,"$58,777",-,100%,"$58,777"
171,Mr. Landsbergis,"$56,082",-,100%,"$56,082"
172,Leonora addio,"$55,724",-,100%,"$55,724"
173,The Real Charlie Chaplin,"$54,433",-,100%,"$54,433"
174,Blow-Up 2020 Re-release,"$53,332",-,100%,"$53,332"
175,Mult V Kino Vol 133,"$53,075",-,100%,"$53,075"
176,The Seventh Seal 2022 Re-release,"$50,129",-,100%,"$50,129"
177,Unknown Treasures,"$49,627",-,100%,"$49,627"
178,Muu Ke Thuong Luu,"$49,344",-,100%,"$49,344"
179,Sing a Bit of Harmony,"$48,915",-,100%,"$48,915"
180,Art of the Dead,"$48,621",-,100%,"$48,621"
181,Superworm,"$47,972",-,100%,"$47,972"
182,Malazgirt 1071,"$47,913",-,100%,"$47,913"
183,Mariya,"$47,312",-,100%,"$47,312"
184,Wyrmwood: Apocalypse,"$46,724",-,100%,"$46,724"
185,Una Femmina - The Code of Silence,"$46,521",-,100%,"$46,521"
186,La notte più lunga dell'anno,"$46,124",-,100%,"$46,124"
187,Cow,"$45,678",-,100%,"$45,678"
188,Fortress,"$45,617",-,100%,"$45,617"
189,Gold,"$45,021",-,100%,"$45,021"
190,Ballad of a White Cow,"$42,467",-,100%,"$42,467"
191,South 2022 Re-release,"$41,909",-,100%,"$41,909"
192,The Automat,"$40,185","$40,185",-,-
193,Petya na moyata Petya,"$39,096",-,100%,"$39,096"
194,"That Day, on the Beach 2022 Re-release","$37,482",-,100%,"$37,482"
195,The Combat Kings,"$34,075",-,100%,"$34,075"
196,Nalan,"$33,925",-,100%,"$33,925"
197,Odata pentru totdeauna,"$33,464",-,100%,"$33,464"
198,Catch the Fair One,"$32,019","$31,350",2.1%,$669
199,Olga,"$31,916",-,100%,"$31,916"
200,Fritanga Express,"$31,153",-,100%,"$31,153"
